id,stock_name,close_price,open_price,high_price,low_price,volume,market_cap,pe_ratio,dividend_yield,setor,trade_date
2330,台積電,568.00,565.00,572.00,563.00,25680000,14720000.00,18.5,2.1,半導體,2025-06-09
2317,鴻海,108.50,107.00,109.50,106.50,31250000,1507000.00,12.8,4.2,電子製造,2025-06-09
2454,聯發科,1285.00,1275.00,1295.00,1270.00,8950000,2056000.00,22.3,2.8,半導體,2025-06-09
1301,台塑,89.60,88.50,90.20,88.00,12350000,757200.00,9.2,5.8,石化,2025-06-09
2881,富邦金,72.40,71.80,73.00,71.50,18750000,952800.00,11.5,5.2,金融,2025-06-09
2330,台積電,572.50,568.00,575.00,567.00,28950000,14834000.00,18.7,2.0,半導體,2025-06-08
2317,鴻海,107.80,108.50,109.20,106.80,29840000,1498400.00,12.7,4.3,電子製造,2025-06-08
2454,聯發科,1275.00,1285.00,1290.00,1265.00,9850000,2038000.00,22.1,2.9,半導體,2025-06-08
1301,台塑,88.90,89.60,90.50,87.90,13820000,751680.00,9.1,5.9,石化,2025-06-08
2881,富邦金,71.90,72.40,73.20,71.20,19650000,946080.00,11.4,5.3,金融,2025-06-08
2330,台積電,565.00,572.50,574.00,562.00,31250000,14646000.00,18.4,2.1,半導體,2025-06-07
2317,鴻海,109.20,107.80,110.50,107.00,33750000,1517840.00,12.9,4.1,電子製造,2025-06-07
2454,聯發科,1290.00,1275.00,1298.00,1270.00,7850000,2062000.00,22.4,2.8,半導體,2025-06-07
1301,台塑,90.50,88.90,91.20,88.50,11950000,765240.00,9.3,5.7,石化,2025-06-07
2881,富邦金,73.20,71.90,74.00,71.50,17850000,962880.00,11.6,5.1,金融,2025-06-07
2412,中華電,118.50,119.50,120.20,117.80,7250000,916650.00,15.1,4.6,電信,2025-06-06
1216,統一,69.50,68.90,70.20,68.50,8950000,440700.00,17.0,3.6,食品,2025-06-06
2207,和泰車,141.00,142.50,143.80,140.20,4680000,284020.00,13.7,4.9,汽車,2025-06-06
2308,台達電,383.00,385.50,388.50,381.00,8250000,994780.00,19.5,2.4,電子,2025-06-06
3008,大立光,2850.00,2875.00,2890.00,2830.00,2150000,1945000.00,25.3,1.9,光學,2025-06-06
2303,聯電,50.80,51.40,52.20,50.40,31250000,637320.00,14.1,4.0,半導體,2025-06-05
6505,台塑化,95.50,96.80,97.80,94.90,12850000,1193400.00,7.7,7.3,石化,2025-06-05
2891,中信金,23.60,23.85,24.10,23.40,38950000,369708.00,9.4,4.7,金融,2025-06-05
2882,國泰金,63.50,64.20,64.90,63.10,24580000,963675.00,10.7,5.0,金融,2025-06-05
2330,台積電,571.00,565.00,576.00,564.00,27840000,14801000.00,18.6,2.0,半導體,2025-06-04
2317,鴻海,106.80,109.20,110.00,106.20,35680000,1484640.00,12.6,4.4,電子製造,2025-06-04
2454,聯發科,1270.00,1290.00,1295.00,1262.00,9650000,2030000.00,22.0,2.9,半導體,2025-06-04
1301,台塑,87.90,90.50,91.00,87.50,14250000,743268.00,9.0,6.0,石化,2025-06-04
2881,富邦金,71.50,73.20,73.80,71.00,20150000,940800.00,11.3,5.4,金融,2025-06-04
2412,中華電,120.20,118.50,121.00,118.00,6950000,929946.00,15.3,4.4,電信,2025-06-03
1216,統一,68.50,69.50,70.00,68.20,9580000,434200.00,16.8,3.7,食品,2025-06-03
2207,和泰車,143.80,141.00,145.20,140.50,4950000,289684.00,14.0,4.7,汽車,2025-06-03
2308,台達電,388.50,383.00,392.00,382.50,7850000,1008570.00,19.8,2.3,電子,2025-06-03
3008,大立光,2890.00,2850.00,2920.00,2840.00,1950000,1973000.00,25.7,1.8,光學,2025-06-03
2330,台積電,564.00,571.00,573.00,561.00,29650000,14616000.00,18.4,2.1,半導體,2025-06-02
2317,鴻海,110.00,106.80,111.50,106.50,32840000,1529000.00,13.0,4.0,電子製造,2025-06-02
2454,聯發科,1262.00,1270.00,1275.00,1255.00,8950000,2018000.00,21.9,2.9,半導體,2025-06-02
1301,台塑,87.50,87.90,89.20,87.00,13580000,740000.00,9.0,6.0,石化,2025-06-02
2881,富邦金,71.00,71.50,72.80,70.80,21850000,933200.00,11.2,5.4,金融,2025-06-02
2303,聯電,52.20,50.80,53.00,50.60,28950000,655080.00,14.5,3.9,半導體,2025-06-01
6505,台塑化,97.80,95.50,98.50,95.20,11850000,1221960.00,7.9,7.1,石化,2025-06-01
2891,中信金,24.10,23.60,24.25,23.50,36580000,377570.00,9.6,4.6,金融,2025-06-01
2882,國泰金,64.90,63.50,65.40,63.20,23950000,985005.00,10.9,4.8,金融,2025-06-01
2330,台積電,561.00,564.00,566.00,559.00,32580000,14546000.00,18.3,2.1,半導體,2025-05-31
2317,鴻海,111.50,110.00,112.80,109.50,30950000,1549350.00,13.2,3.9,電子製造,2025-05-31
2454,聯發科,1255.00,1262.00,1268.00,1248.00,9850000,2006000.00,21.8,3.0,半導體,2025-05-31
1301,台塑,89.20,87.50,90.50,87.20,12850000,754568.00,9.2,5.8,石化,2025-05-31
2881,富邦金,72.80,71.00,73.50,70.80,19650000,957840.00,11.5,5.2,金融,2025-05-31
2412,中華電,121.00,120.20,122.50,119.80,6580000,936290.00,15.4,4.3,電信,2025-05-30
1216,統一,70.00,68.50,70.80,68.20,8750000,444000.00,17.1,3.6,食品,2025-05-30
2207,和泰車,145.20,143.80,146.50,143.20,4580000,292502.00,14.1,4.6,汽車,2025-05-30
2308,台達電,392.00,388.50,395.00,387.50,7250000,1017680.00,20.0,2.2,電子,2025-05-30
3008,大立光,2920.00,2890.00,2950.00,2880.00,1850000,1993600.00,25.9,1.7,光學,2025-05-30
2330,台積電,566.00,561.00,569.00,560.00,28950000,14676000.00,18.5,2.1,半導體,2025-05-29
2317,鴻海,112.80,111.50,114.20,111.00,29580000,1567584.00,13.3,3.8,電子製造,2025-05-29
2454,聯發科,1268.00,1255.00,1275.00,1250.00,8650000,2027000.00,22.0,2.9,半導體,2025-05-29
1301,台塑,90.50,89.20,91.80,88.90,11950000,765240.00,9.3,5.7,石化,2025-05-29
2881,富邦金,73.50,72.80,74.20,72.50,18750000,966600.00,11.6,5.1,金融,2025-05-29
2303,聯電,53.00,52.20,53.80,51.90,27850000,664400.00,14.7,3.8,半導體,2025-05-28
6505,台塑化,98.50,97.80,99.20,97.50,10950000,1230700.00,8.0,7.0,石化,2025-05-28
2891,中信金,24.25,24.10,24.40,23.95,35850000,379912.50,9.7,4.5,金融,2025-05-28
2882,國泰金,65.40,64.90,66.00,64.50,22850000,992580.00,11.0,4.7,金融,2025-05-28
2330,台積電,569.00,566.00,571.00,565.00,26850000,14754000.00,18.6,2.0,半導體,2025-05-27
2317,鴻海,114.20,112.80,115.50,112.50,28950000,1587028.00,13.5,3.7,電子製造,2025-05-27
2454,聯發科,1275.00,1268.00,1282.00,1265.00,7850000,2039000.00,22.1,2.8,半導體,2025-05-27
1301,台塑,91.80,90.50,92.50,90.20,10850000,776244.00,9.4,5.6,石化,2025-05-27
2881,富邦金,74.20,73.50,75.00,73.20,17850000,975840.00,11.7,5.0,金融,2025-05-27
